"description","assist","player","result","periodTime","totalTime","xx","yy"
"2 punti segnato","Derek Ogbeide","Ryan Hawkins","made",29,29,915,252
"3 punti sbagliato","","Carl Wheatle","missed",78,78,1305,728
"3 punti segnato","","Payton Terrell Willis","made",101,101,615,840
"2 punti sbagliato","","Charlie Edward Moore","missed",123,123,840,588
"3 punti sbagliato","","Payton Terrell Willis","missed",143,143,525,896
"3 punti sbagliato","","Ryan Hawkins","missed",174,174,210,700
"3 punti segnato","","Charlie Edward Moore","made",259,259,405,868
"3 punti segnato","Carl Wheatle","Ryan Hawkins","made",273,273,780,896
"2 punti segnato","","Charlie Edward Moore","made",302,302,945,364
"3 punti segnato","","Charlie Edward Moore","made",347,347,345,756
"3 punti sbagliato","","Ryan Hawkins","missed",373,373,495,840
"2 punti sbagliato","","Derek Ogbeide","missed",383,383,930,476
"3 punti sbagliato","","Grant Basile","missed",455,455,1080,812
"2 punti segnato","Gianluca Della Rosa","Angelo Del Chiaro","made",492,492,585,168
"3 punti sbagliato","","Payton Terrell Willis","missed",517,517,1155,812
"3 punti sbagliato","","Gianluca Della Rosa","missed",557,557,360,784
"2 punti segnato","Gianluca Della Rosa","Angelo Del Chiaro","made",596,596,750,336
"2 punti segnato","Grant Basile","Angelo Del Chiaro","made",18,618,705,672
"3 punti segnato","Grant Basile","Gianluca Della Rosa","made",56,656,825,1036
"3 punti segnato","Lorenzo Saccaggi","Gianluca Della Rosa","made",94,694,1245,868
"2 punti segnato","","Payton Terrell Willis","made",153,753,780,616
"3 punti sbagliato","","Payton Terrell Willis","missed",153,753,NA,NA
"3 punti segnato","","Payton Terrell Willis","made",153,753,NA,NA
"2 punti sbagliato","","Lorenzo Saccaggi","missed",228,828,1245,224
"2 punti segnato","Payton Terrell Willis","Grant Basile","made",242,842,750,196
"3 punti sbagliato","","Grant Basile","missed",276,876,555,840
"3 punti sbagliato","","Charlie Edward Moore","missed",313,913,690,1008
"3 punti sbagliato","","Payton Terrell Willis","missed",339,939,1110,896
"3 punti segnato","Payton Terrell Willis","Ryan Hawkins","made",346,946,945,924
"3 punti sbagliato","","Payton Terrell Willis","missed",394,994,1110,840
"3 punti sbagliato","","Carl Wheatle","missed",401,1001,45,140
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",434,1034,795,224
"2 punti sbagliato","","Ryan Hawkins","missed",485,1085,735,224
"3 punti sbagliato","","Charlie Edward Moore","missed",517,1117,765,952
"3 punti sbagliato","","Ryan Hawkins","missed",542,1142,930,924
"2 punti segnato","","Charlie Edward Moore","made",27,1227,1095,504
"2 punti sbagliato","","Derek Ogbeide","missed",61,1261,1065,308
"2 punti sbagliato","","Charlie Edward Moore","missed",81,1281,600,168
"2 punti segnato","","Derek Ogbeide","made",86,1286,750,168
"2 punti segnato","Charlie Edward Moore","Carl Wheatle","made",98,1298,840,224
"2 punti sbagliato","","Charlie Edward Moore","missed",124,1324,675,224
"2 punti segnato","","Carl Wheatle","made",148,1348,690,224
"2 punti segnato","","Derek Ogbeide","made",160,1360,630,196
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",222,1422,585,280
"3 punti sbagliato","","Payton Terrell Willis","missed",297,1497,255,756
"3 punti sbagliato","","Carl Wheatle","missed",331,1531,315,784
"3 punti segnato","Derek Ogbeide","Charlie Edward Moore","made",335,1535,645,924
"2 punti segnato","Charlie Edward Moore","Derek Ogbeide","made",367,1567,705,224
"2 punti segnato","","Lorenzo Saccaggi","made",434,1634,855,476
"2 punti sbagliato","","Angelo Del Chiaro","missed",468,1668,765,448
"3 punti sbagliato","","Lorenzo Saccaggi","missed",501,1701,1125,868
"3 punti sbagliato","","Gianluca Della Rosa","missed",531,1731,675,1008
"2 punti segnato","","Lorenzo Saccaggi","made",554,1754,540,308
"2 punti segnato","","Payton Terrell Willis","made",581,1781,435,644
"2 punti segnato","Angelo Del Chiaro","Grant Basile","made",24,1824,675,168
"3 punti sbagliato","","Gianluca Della Rosa","missed",146,1946,1155,1064
"3 punti sbagliato","","Gianluca Della Rosa","missed",193,1993,1080,896
"2 punti sbagliato","","Grant Basile","missed",249,2049,1005,252
"2 punti sbagliato","","Derek Ogbeide","missed",252,2052,465,224
"3 punti sbagliato","","Charlie Edward Moore","missed",281,2081,255,784
"2 punti sbagliato","","Derek Ogbeide","missed",287,2087,585,308
"2 punti segnato","Carl Wheatle","Derek Ogbeide","made",339,2139,570,168
"2 punti sbagliato","","Carl Wheatle","missed",381,2181,930,560
"2 punti sbagliato","","Charlie Edward Moore","missed",411,2211,465,616
"3 punti segnato","Carl Wheatle","Payton Terrell Willis","made",421,2221,150,616
"2 punti sbagliato","","Ryan Hawkins","missed",465,2265,990,336
"2 punti sbagliato","","Derek Ogbeide","missed",540,2340,675,308
"2 punti sbagliato","","Derek Ogbeide","missed",599,2399,555,224
"2 punti sbagliato","","Ryan Hawkins","missed",29,29,945,588
"2 punti sbagliato","","Derek Ogbeide","missed",67,67,780,476
"3 punti sbagliato","","Payton Terrell Willis","missed",115,115,645,924
"2 punti sbagliato","","Charlie Edward Moore","missed",156,156,825,280
"2 punti segnato","","Derek Ogbeide","made",156,156,825,280
"3 punti sbagliato","","Ryan Hawkins","missed",201,201,540,840
"2 punti sbagliato","","Charlie Edward Moore","missed",248,248,855,224
"2 punti segnato","","Derek Ogbeide","made",248,248,855,224
