"game_id","description","assist","player","result","periodTime","totalTime","xx","yy"
"Milano Trento game 1","2 punti segnato","","Shavon Shields","made",34,34,1020,644
"Milano Trento game 1","2 punti sbagliato","","Stefano Tonut","missed",102,102,825,196
"Milano Trento game 1","2 punti sbagliato","","Nicolò Melli","missed",102,102,825,196
"Milano Trento game 1","3 punti segnato","Nicolò Melli","Shavon Shields","made",128,128,1020,896
"Milano Trento game 1","3 punti segnato","","Shabazz Napier","made",218,218,300,840
"Milano Trento game 1","3 punti segnato","Shabazz Napier","Nikola Mirotic","made",257,257,1110,896
"Milano Trento game 1","2 punti sbagliato","","Shavon Shields","missed",298,298,585,196
"Milano Trento game 1","2 punti segnato","","Nicolò Melli","made",298,298,585,196
"Milano Trento game 1","2 punti segnato","Shabazz Napier","Shavon Shields","made",327,327,660,252
"Milano Trento game 1","2 punti segnato","","Shavon Shields","made",366,366,630,196
"Milano Trento game 1","3 punti segnato","Shavon Shields","Shabazz Napier","made",405,405,1410,532
"Milano Trento game 1","2 punti segnato","","Shavon Shields","made",427,427,510,644
"Milano Trento game 1","2 punti sbagliato","","Giampaolo Ricci","missed",456,456,555,336
"Milano Trento game 1","3 punti segnato","Giampaolo Ricci","Billy Baron","made",517,517,45,224
"Milano Trento game 1","2 punti sbagliato","","Kyle Hines","missed",560,560,1095,196
"Milano Trento game 1","2 punti segnato","Devon Hall","Kyle Hines","made",600,600,750,196
"Milano Trento game 1","2 punti sbagliato","","Devon Hall","missed",63,663,615,280
"Milano Trento game 1","3 punti sbagliato","","Giampaolo Ricci","missed",109,709,1365,616
"Milano Trento game 1","2 punti sbagliato","","Devon Hall","missed",127,727,780,252
"Milano Trento game 1","2 punti sbagliato","","Giampaolo Ricci","missed",127,727,780,252
"Milano Trento game 1","2 punti segnato","Nikola Mirotic","Stefano Tonut","made",166,766,315,560
"Milano Trento game 1","3 punti sbagliato","","Stefano Tonut","missed",203,803,75,420
"Milano Trento game 1","2 punti segnato","","Nikola Mirotic","made",279,879,1005,140
"Milano Trento game 1","3 punti sbagliato","","Stefano Tonut","missed",310,910,30,336
"Milano Trento game 1","3 punti sbagliato","","Nikola Mirotic","missed",329,929,1455,112
"Milano Trento game 1","2 punti segnato","","Stefano Tonut","made",329,929,1455,112
"Milano Trento game 1","3 punti sbagliato","","Nicolò Melli","missed",371,971,435,868
"Milano Trento game 1","3 punti sbagliato","","Nicolò Melli","missed",431,1031,1455,196
"Milano Trento game 1","3 punti segnato","Shavon Shields","Nicolò Melli","made",443,1043,1320,644
"Milano Trento game 1","2 punti sbagliato","","Nikola Mirotic","missed",485,1085,780,336
"Milano Trento game 1","2 punti sbagliato","","Shavon Shields","missed",516,1116,825,196
"Milano Trento game 1","3 punti sbagliato","","Devon Hall","missed",599,1199,495,476
"Milano Trento game 1","2 punti sbagliato","","Shabazz Napier","missed",22,1222,675,700
"Milano Trento game 1","2 punti segnato","Nicolò Melli","Stefano Tonut","made",56,1256,945,252
"Milano Trento game 1","3 punti sbagliato","","Nikola Mirotic","missed",115,1315,690,952
"Milano Trento game 1","3 punti sbagliato","","Nicolò Melli","missed",142,1342,180,616
"Milano Trento game 1","2 punti segnato","","Shavon Shields","made",160,1360,690,140
"Milano Trento game 1","2 punti sbagliato","","Shavon Shields","missed",200,1400,750,784
"Milano Trento game 1","2 punti segnato","Shabazz Napier","Stefano Tonut","made",226,1426,915,140
"Milano Trento game 1","2 punti segnato","Stefano Tonut","Shavon Shields","made",266,1466,810,224
"Milano Trento game 1","3 punti sbagliato","","Shabazz Napier","missed",322,1522,60,392
"Milano Trento game 1","2 punti segnato","","Shabazz Napier","made",372,1572,810,280
"Milano Trento game 1","3 punti sbagliato","","Shabazz Napier","missed",393,1593,1245,728
"Milano Trento game 1","2 punti segnato","","Kyle Hines","made",415,1615,840,196
"Milano Trento game 1","2 punti sbagliato","","Billy Baron","missed",486,1686,150,308
