,game_id,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
0,Milano Trento game 1,2 punti segnato,,Shavon Shields,made,34,34,1020,644,3
1,Milano Trento game 1,2 punti sbagliato,,Stefano Tonut,missed,102,102,825,196,0
2,Milano Trento game 1,2 punti sbagliato,,Nicolò Melli,missed,102,102,825,196,0
3,Milano Trento game 1,3 punti segnato,Nicolò Melli,Shavon Shields,made,128,128,1020,896,7
4,Milano Trento game 1,3 punti segnato,,Shabazz Napier,made,218,218,300,840,6
5,Milano Trento game 1,3 punti segnato,Shabazz Napier,Nikola Mirotic,made,257,257,1110,896,7
6,Milano Trento game 1,2 punti sbagliato,,Shavon Shields,missed,298,298,585,196,0
7,Milano Trento game 1,2 punti segnato,,Nicolò Melli,made,298,298,585,196,0
8,Milano Trento game 1,2 punti segnato,Shabazz Napier,Shavon Shields,made,327,327,660,252,0
9,Milano Trento game 1,2 punti segnato,,Shavon Shields,made,366,366,630,196,0
10,Milano Trento game 1,3 punti segnato,Shavon Shields,Shabazz Napier,made,405,405,1410,532,8
11,Milano Trento game 1,2 punti segnato,,Shavon Shields,made,427,427,510,644,2
12,Milano Trento game 1,2 punti sbagliato,,Giampaolo Ricci,missed,456,456,555,336,2
13,Milano Trento game 1,3 punti segnato,Giampaolo Ricci,Billy Baron,made,517,517,45,224,5
14,Milano Trento game 1,2 punti sbagliato,,Kyle Hines,missed,560,560,1095,196,4
15,Milano Trento game 1,2 punti segnato,Devon Hall,Kyle Hines,made,600,600,750,196,0
16,Milano Trento game 1,2 punti sbagliato,,Devon Hall,missed,63,663,615,280,0
17,Milano Trento game 1,3 punti sbagliato,,Giampaolo Ricci,missed,109,709,1365,616,7
18,Milano Trento game 1,2 punti sbagliato,,Devon Hall,missed,127,727,780,252,0
19,Milano Trento game 1,2 punti sbagliato,,Giampaolo Ricci,missed,127,727,780,252,0
20,Milano Trento game 1,2 punti segnato,Nikola Mirotic,Stefano Tonut,made,166,766,315,560,2
21,Milano Trento game 1,3 punti sbagliato,,Stefano Tonut,missed,203,803,75,420,5
22,Milano Trento game 1,2 punti segnato,,Nikola Mirotic,made,279,879,1005,140,4
23,Milano Trento game 1,3 punti sbagliato,,Stefano Tonut,missed,310,910,30,336,5
24,Milano Trento game 1,3 punti sbagliato,,Nikola Mirotic,missed,329,929,1455,112,8
25,Milano Trento game 1,2 punti segnato,,Stefano Tonut,made,329,929,1455,112,8
26,Milano Trento game 1,3 punti sbagliato,,Nicolò Melli,missed,371,971,435,868,6
27,Milano Trento game 1,3 punti sbagliato,,Nicolò Melli,missed,431,1031,1455,196,8
28,Milano Trento game 1,3 punti segnato,Shavon Shields,Nicolò Melli,made,443,1043,1320,644,7
29,Milano Trento game 1,2 punti sbagliato,,Nikola Mirotic,missed,485,1085,780,336,0
30,Milano Trento game 1,2 punti sbagliato,,Shavon Shields,missed,516,1116,825,196,0
31,Milano Trento game 1,3 punti sbagliato,,Devon Hall,missed,599,1199,495,476,2
32,Milano Trento game 1,2 punti sbagliato,,Shabazz Napier,missed,22,1222,675,700,2
33,Milano Trento game 1,2 punti segnato,Nicolò Melli,Stefano Tonut,made,56,1256,945,252,0
34,Milano Trento game 1,3 punti sbagliato,,Nikola Mirotic,missed,115,1315,690,952,6
35,Milano Trento game 1,3 punti sbagliato,,Nicolò Melli,missed,142,1342,180,616,6
36,Milano Trento game 1,2 punti segnato,,Shavon Shields,made,160,1360,690,140,0
37,Milano Trento game 1,2 punti sbagliato,,Shavon Shields,missed,200,1400,750,784,2
38,Milano Trento game 1,2 punti segnato,Shabazz Napier,Stefano Tonut,made,226,1426,915,140,0
39,Milano Trento game 1,2 punti segnato,Stefano Tonut,Shavon Shields,made,266,1466,810,224,0
40,Milano Trento game 1,3 punti sbagliato,,Shabazz Napier,missed,322,1522,60,392,5
41,Milano Trento game 1,2 punti segnato,,Shabazz Napier,made,372,1572,810,280,0
42,Milano Trento game 1,3 punti sbagliato,,Shabazz Napier,missed,393,1593,1245,728,7
43,Milano Trento game 1,2 punti segnato,,Kyle Hines,made,415,1615,840,196,0
44,Milano Trento game 1,2 punti sbagliato,,Billy Baron,missed,486,1686,150,308,1
45,Milano Trento game 1,3 punti sbagliato,,Giampaolo Ricci,missed,492,1692,1455,112,8
46,Milano Trento game 1,2 punti sbagliato,,Shavon Shields,missed,532,1732,645,728,2
47,Milano Trento game 1,2 punti sbagliato,,Shavon Shields,missed,597,1797,780,308,0
48,Milano Trento game 1,3 punti sbagliato,,Giampaolo Ricci,missed,25,1825,1155,784,7
49,Milano Trento game 1,2 punti segnato,,Shavon Shields,made,203,2003,540,644,2
50,Milano Trento game 1,3 punti sbagliato,,Devon Hall,missed,242,2042,45,196,5
51,Milano Trento game 1,2 punti sbagliato,,Nicolò Melli,missed,273,2073,945,672,3
