,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
0,2 punti segnato,Derek Ogbeide,Ryan Hawkins,made,29,29,915.0,252.0,0
1,3 punti sbagliato,,Carl Wheatle,missed,78,78,1305.0,728.0,7
2,3 punti segnato,,Payton Terrell Willis,made,101,101,615.0,840.0,6
3,2 punti sbagliato,,Charlie Edward Moore,missed,123,123,840.0,588.0,3
4,3 punti sbagliato,,Payton Terrell Willis,missed,143,143,525.0,896.0,6
5,3 punti sbagliato,,Ryan Hawkins,missed,174,174,210.0,700.0,6
6,3 punti segnato,,Charlie Edward Moore,made,259,259,405.0,868.0,6
7,3 punti segnato,Carl Wheatle,Ryan Hawkins,made,273,273,780.0,896.0,7
8,2 punti segnato,,Charlie Edward Moore,made,302,302,945.0,364.0,3
9,3 punti segnato,,Charlie Edward Moore,made,347,347,345.0,756.0,6
10,3 punti sbagliato,,Ryan Hawkins,missed,373,373,495.0,840.0,6
11,2 punti sbagliato,,Derek Ogbeide,missed,383,383,930.0,476.0,3
12,3 punti sbagliato,,Grant Basile,missed,455,455,1080.0,812.0,7
13,2 punti segnato,Gianluca Della Rosa,Angelo Del Chiaro,made,492,492,585.0,168.0,0
14,3 punti sbagliato,,Payton Terrell Willis,missed,517,517,1155.0,812.0,7
15,3 punti sbagliato,,Gianluca Della Rosa,missed,557,557,360.0,784.0,6
16,2 punti segnato,Gianluca Della Rosa,Angelo Del Chiaro,made,596,596,750.0,336.0,0
17,2 punti segnato,Grant Basile,Angelo Del Chiaro,made,18,618,705.0,672.0,2
18,3 punti segnato,Grant Basile,Gianluca Della Rosa,made,56,656,825.0,1036.0,7
19,3 punti segnato,Lorenzo Saccaggi,Gianluca Della Rosa,made,94,694,1245.0,868.0,7
20,2 punti segnato,,Payton Terrell Willis,made,153,753,780.0,616.0,3
21,3 punti sbagliato,,Payton Terrell Willis,missed,153,753,,,-1
22,3 punti segnato,,Payton Terrell Willis,made,153,753,,,-1
23,2 punti sbagliato,,Lorenzo Saccaggi,missed,228,828,1245.0,224.0,4
24,2 punti segnato,Payton Terrell Willis,Grant Basile,made,242,842,750.0,196.0,0
25,3 punti sbagliato,,Grant Basile,missed,276,876,555.0,840.0,6
26,3 punti sbagliato,,Charlie Edward Moore,missed,313,913,690.0,1008.0,6
27,3 punti sbagliato,,Payton Terrell Willis,missed,339,939,1110.0,896.0,7
28,3 punti segnato,Payton Terrell Willis,Ryan Hawkins,made,346,946,945.0,924.0,7
29,3 punti sbagliato,,Payton Terrell Willis,missed,394,994,1110.0,840.0,7
30,3 punti sbagliato,,Carl Wheatle,missed,401,1001,45.0,140.0,5
31,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,434,1034,795.0,224.0,0
32,2 punti sbagliato,,Ryan Hawkins,missed,485,1085,735.0,224.0,0
33,3 punti sbagliato,,Charlie Edward Moore,missed,517,1117,765.0,952.0,7
34,3 punti sbagliato,,Ryan Hawkins,missed,542,1142,930.0,924.0,7
35,2 punti segnato,,Charlie Edward Moore,made,27,1227,1095.0,504.0,3
36,2 punti sbagliato,,Derek Ogbeide,missed,61,1261,1065.0,308.0,4
37,2 punti sbagliato,,Charlie Edward Moore,missed,81,1281,600.0,168.0,0
38,2 punti segnato,,Derek Ogbeide,made,86,1286,750.0,168.0,0
39,2 punti segnato,Charlie Edward Moore,Carl Wheatle,made,98,1298,840.0,224.0,0
40,2 punti sbagliato,,Charlie Edward Moore,missed,124,1324,675.0,224.0,0
41,2 punti segnato,,Carl Wheatle,made,148,1348,690.0,224.0,0
42,2 punti segnato,,Derek Ogbeide,made,160,1360,630.0,196.0,0
43,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,222,1422,585.0,280.0,0
44,3 punti sbagliato,,Payton Terrell Willis,missed,297,1497,255.0,756.0,6
45,3 punti sbagliato,,Carl Wheatle,missed,331,1531,315.0,784.0,6
46,3 punti segnato,Derek Ogbeide,Charlie Edward Moore,made,335,1535,645.0,924.0,6
47,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,367,1567,705.0,224.0,0
48,2 punti segnato,,Lorenzo Saccaggi,made,434,1634,855.0,476.0,3
49,2 punti sbagliato,,Angelo Del Chiaro,missed,468,1668,765.0,448.0,3
50,3 punti sbagliato,,Lorenzo Saccaggi,missed,501,1701,1125.0,868.0,7
51,3 punti sbagliato,,Gianluca Della Rosa,missed,531,1731,675.0,1008.0,6
52,2 punti segnato,,Lorenzo Saccaggi,made,554,1754,540.0,308.0,2
53,2 punti segnato,,Payton Terrell Willis,made,581,1781,435.0,644.0,2
54,2 punti segnato,Angelo Del Chiaro,Grant Basile,made,24,1824,675.0,168.0,0
55,3 punti sbagliato,,Gianluca Della Rosa,missed,146,1946,1155.0,1064.0,7
56,3 punti sbagliato,,Gianluca Della Rosa,missed,193,1993,1080.0,896.0,7
57,2 punti sbagliato,,Grant Basile,missed,249,2049,1005.0,252.0,4
58,2 punti sbagliato,,Derek Ogbeide,missed,252,2052,465.0,224.0,1
59,3 punti sbagliato,,Charlie Edward Moore,missed,281,2081,255.0,784.0,6
60,2 punti sbagliato,,Derek Ogbeide,missed,287,2087,585.0,308.0,0
61,2 punti segnato,Carl Wheatle,Derek Ogbeide,made,339,2139,570.0,168.0,0
62,2 punti sbagliato,,Carl Wheatle,missed,381,2181,930.0,560.0,3
63,2 punti sbagliato,,Charlie Edward Moore,missed,411,2211,465.0,616.0,2
64,3 punti segnato,Carl Wheatle,Payton Terrell Willis,made,421,2221,150.0,616.0,6
65,2 punti sbagliato,,Ryan Hawkins,missed,465,2265,990.0,336.0,3
66,2 punti sbagliato,,Derek Ogbeide,missed,540,2340,675.0,308.0,0
67,2 punti sbagliato,,Derek Ogbeide,missed,599,2399,555.0,224.0,0
68,2 punti sbagliato,,Ryan Hawkins,missed,29,29,945.0,588.0,3
69,2 punti sbagliato,,Derek Ogbeide,missed,67,67,780.0,476.0,3
70,3 punti sbagliato,,Payton Terrell Willis,missed,115,115,645.0,924.0,6
71,2 punti sbagliato,,Charlie Edward Moore,missed,156,156,825.0,280.0,0
72,2 punti segnato,,Derek Ogbeide,made,156,156,825.0,280.0,0
73,3 punti sbagliato,,Ryan Hawkins,missed,201,201,540.0,840.0,6
74,2 punti sbagliato,,Charlie Edward Moore,missed,248,248,855.0,224.0,0
75,2 punti segnato,,Derek Ogbeide,made,248,248,855.0,224.0,0
76,2 punti sbagliato,,Derek Ogbeide,missed,289,289,735.0,448.0,2
77,3 punti segnato,Ryan Hawkins,Carl Wheatle,made,332,332,1080.0,812.0,7
78,2 punti segnato,Charlie Edward Moore,Payton Terrell Willis,made,353,353,690.0,168.0,0
79,3 punti sbagliato,,Charlie Edward Moore,missed,383,383,285.0,700.0,6
80,2 punti sbagliato,,Derek Ogbeide,missed,422,422,705.0,196.0,0
81,2 punti sbagliato,,Grant Basile,missed,465,465,915.0,336.0,0
82,2 punti sbagliato,,Angelo Del Chiaro,missed,513,513,1080.0,532.0,3
83,3 punti sbagliato,,Payton Terrell Willis,missed,10,610,345.0,756.0,6
84,3 punti sbagliato,,Grant Basile,missed,45,645,750.0,896.0,6
85,2 punti sbagliato,,Lorenzo Saccaggi,missed,49,649,780.0,252.0,0
86,3 punti segnato,Lorenzo Saccaggi,Grant Basile,made,75,675,825.0,952.0,7
87,2 punti segnato,Charlie Edward Moore,Ryan Hawkins,made,97,697,750.0,140.0,0
88,2 punti segnato,,Charlie Edward Moore,made,130,730,750.0,336.0,0
89,2 punti segnato,,Charlie Edward Moore,made,158,758,840.0,224.0,0
90,3 punti sbagliato,,Payton Terrell Willis,missed,183,783,285.0,756.0,6
91,3 punti sbagliato,,Grant Basile,missed,215,815,405.0,784.0,6
92,2 punti segnato,Lorenzo Saccaggi,Payton Terrell Willis,made,275,875,1320.0,112.0,4
93,2 punti segnato,Charlie Edward Moore,Ryan Hawkins,made,295,895,720.0,196.0,0
94,2 punti segnato,,Ryan Hawkins,made,333,933,585.0,196.0,0
95,3 punti segnato,,Payton Terrell Willis,made,386,986,195.0,644.0,6
96,2 punti sbagliato,,Carl Wheatle,missed,410,1010,615.0,364.0,2
97,2 punti segnato,,Ryan Hawkins,made,410,1010,615.0,364.0,2
98,3 punti sbagliato,,Payton Terrell Willis,missed,453,1053,645.0,896.0,6
99,2 punti segnato,,Charlie Edward Moore,made,483,1083,870.0,168.0,0
100,2 punti sbagliato,,Charlie Edward Moore,missed,520,1120,735.0,336.0,0
101,2 punti segnato,,Grant Basile,made,520,1120,735.0,336.0,0
102,3 punti segnato,,Payton Terrell Willis,made,534,1134,300.0,784.0,6
103,3 punti segnato,Payton Terrell Willis,Charlie Edward Moore,made,31,1231,15.0,168.0,5
104,2 punti sbagliato,,Ryan Hawkins,missed,69,1269,510.0,336.0,2
105,3 punti sbagliato,,Carl Wheatle,missed,108,1308,30.0,112.0,5
106,3 punti segnato,Derek Ogbeide,Ryan Hawkins,made,150,1350,330.0,756.0,6
107,3 punti segnato,,Charlie Edward Moore,made,186,1386,270.0,756.0,6
108,2 punti sbagliato,,Lorenzo Saccaggi,missed,235,1435,615.0,252.0,0
109,2 punti segnato,Payton Terrell Willis,Derek Ogbeide,made,276,1476,765.0,196.0,0
110,3 punti segnato,,Payton Terrell Willis,made,300,1500,135.0,560.0,6
111,3 punti segnato,,Charlie Edward Moore,made,327,1527,1020.0,812.0,7
112,3 punti sbagliato,,Ryan Hawkins,missed,374,1574,915.0,868.0,7
113,2 punti sbagliato,,Ryan Hawkins,missed,419,1619,450.0,364.0,2
114,2 punti sbagliato,,Charlie Edward Moore,missed,430,1630,285.0,420.0,1
115,2 punti segnato,Grant Basile,Payton Terrell Willis,made,540,1740,705.0,252.0,0
116,3 punti sbagliato,,Payton Terrell Willis,missed,597,1797,240.0,812.0,6
117,2 punti sbagliato,,Grant Basile,missed,18,1818,900.0,224.0,0
118,2 punti sbagliato,,Angelo Del Chiaro,missed,30,1830,780.0,448.0,3
119,2 punti segnato,,Payton Terrell Willis,made,50,1850,705.0,364.0,0
120,3 punti segnato,,Payton Terrell Willis,made,120,1920,1110.0,812.0,7
121,2 punti sbagliato,,Grant Basile,missed,172,1972,765.0,224.0,0
122,3 punti sbagliato,,Payton Terrell Willis,missed,185,1985,1335.0,560.0,7
123,3 punti sbagliato,,Payton Terrell Willis,missed,227,2027,30.0,196.0,5
124,2 punti sbagliato,,Derek Ogbeide,missed,264,2064,645.0,196.0,0
125,3 punti sbagliato,,Charlie Edward Moore,missed,305,2105,45.0,392.0,5
126,2 punti sbagliato,,Payton Terrell Willis,missed,339,2139,735.0,280.0,0
