"description","assist","player","result","periodTime","totalTime","xx","yy"
"2 punti segnato","","Semaj Christon","made",16,16,840,224
"2 punti sbagliato","","Miro Bilan","missed",46,46,720,168
"2 punti sbagliato","","Semaj Christon","missed",74,74,720,644
"3 punti segnato","Kenny Gabriel","Semaj Christon","made",108,108,90,392
"2 punti sbagliato","","Amedeo Della Valle","missed",119,119,585,392
"2 punti sbagliato","","Amedeo Della Valle","missed",129,129,570,392
"3 punti segnato","Miro Bilan","John Petrucelli","made",139,139,1440,196
"2 punti sbagliato","","Miro Bilan","missed",143,143,840,224
"2 punti sbagliato","","John Petrucelli","missed",147,147,870,280
"2 punti segnato","","Amedeo Della Valle","made",213,213,1065,532
"2 punti segnato","","Miro Bilan","made",246,246,720,196
"2 punti segnato","Semaj Christon","John Petrucelli","made",318,318,705,308
"2 punti segnato","Semaj Christon","John Petrucelli","made",361,361,735,252
"2 punti segnato","Semaj Christon","Miro Bilan","made",396,396,765,196
"2 punti sbagliato","","Semaj Christon","missed",455,455,870,252
"3 punti segnato","","C.J. Massinburg","made",500,500,1050,840
"2 punti sbagliato","","David Reginald Cournooh","missed",526,526,750,644
"3 punti segnato","David Reginald Cournooh","C.J. Massinburg","made",573,573,585,924
"2 punti segnato","David Reginald Cournooh","Michael Cobbins","made",24,624,750,140
"2 punti sbagliato","","C.J. Massinburg","missed",76,676,480,280
"2 punti sbagliato","","Michael Cobbins","missed",117,717,660,112
"2 punti sbagliato","","Jason Burnell","missed",151,751,690,252
"2 punti segnato","","David Reginald Cournooh","made",187,787,780,224
"2 punti sbagliato","","Nicola Akele","missed",232,832,615,168
"3 punti segnato","C.J. Massinburg","Jason Burnell","made",276,876,1125,784
"2 punti sbagliato","","Miro Bilan","missed",316,916,780,252
"2 punti segnato","","C.J. Massinburg","made",325,925,735,140
"3 punti segnato","Semaj Christon","C.J. Massinburg","made",356,956,990,896
"3 punti sbagliato","","Amedeo Della Valle","missed",380,980,45,168
"2 punti segnato","","Jason Burnell","made",390,990,720,280
"3 punti sbagliato","","Semaj Christon","missed",431,1031,1155,784
"2 punti sbagliato","","Semaj Christon","missed",447,1047,735,784
"2 punti segnato","Jason Burnell","Semaj Christon","made",459,1059,705,168
"3 punti sbagliato","","Kenny Gabriel","missed",471,1071,225,700
"2 punti segnato","","Semaj Christon","made",471,1071,765,336
"2 punti segnato","","Semaj Christon","made",17,1217,795,168
"2 punti segnato","Miro Bilan","Semaj Christon","made",48,1248,855,364
