"description","assist","player","result","periodTime","totalTime","xx","yy"
"2 punti segnato","Tyler Ennis","Tariq Owens","made",5,5,960,112
"3 punti sbagliato","","Stanley Whittaker Jr","missed",28,28,1470,112
"3 punti segnato","Tyler Ennis","Michal Sokolowski","made",45,45,15,364
"2 punti segnato","Stanley Whittaker Jr","Stephane Gombauld","made",71,71,1005,308
"2 punti segnato","Tyler Ennis","Tariq Owens","made",110,110,825,168
"2 punti sbagliato","","Filip Kruslin","missed",143,143,405,644
"2 punti segnato","Tyler Ennis","Michal Sokolowski","made",154,154,645,112
"3 punti sbagliato","","Jacob Pullen","missed",173,173,900,868
"3 punti segnato","","Tyler Ennis","made",200,200,1080,756
"3 punti segnato","Stanley Whittaker Jr","Kaspar Treier","made",221,221,1275,756
"2 punti sbagliato","","Tariq Owens","missed",236,236,585,336
"3 punti segnato","","Jacob Pullen","made",267,267,1335,588
"2 punti segnato","Alessandro Cappelletti","Stephane Gombauld","made",295,295,915,28
"2 punti segnato","","Tyler Ennis","made",319,319,825,84
"3 punti sbagliato","","Filip Kruslin","missed",335,335,1365,644
"3 punti sbagliato","","Michal Sokolowski","missed",353,353,285,756
"2 punti sbagliato","","Stephane Gombauld","missed",361,361,1050,112
"2 punti segnato","","Ousmane Diop","made",361,361,1050,112
"2 punti sbagliato","","Ousmane Diop","missed",393,393,795,196
"2 punti sbagliato","","Ousmane Diop","missed",393,393,795,196
"2 punti sbagliato","","Ousmane Diop","missed",393,393,795,196
"3 punti segnato","Alessandro Cappelletti","Filip Kruslin","made",408,408,1290,700
"2 punti sbagliato","","Tariq Owens","missed",416,416,765,224
"2 punti segnato","","Tyler Ennis","made",436,436,735,644
"2 punti sbagliato","","Stefano Gentile","missed",448,448,975,84
"2 punti sbagliato","","Giovanni De Nicolao","missed",462,462,795,224
"2 punti sbagliato","","Tariq Owens","missed",462,462,795,224
"2 punti segnato","Giovanni De Nicolao","Justin Kyle Jaworski","made",476,476,810,196
"2 punti segnato","Giovanni De Nicolao","Tomislav Zubcic","made",504,504,435,56
"2 punti segnato","","Alessandro Cappelletti","made",528,528,510,504
"2 punti sbagliato","","Alfonzo Mckinnie","missed",554,554,1020,252
"3 punti sbagliato","","Justin Kyle Jaworski","missed",568,568,180,672
"2 punti segnato","Jacob Pullen","Alessandro Lever","made",592,592,525,196
"2 punti segnato","Ousmane Diop","Alfonzo Mckinnie","made",15,615,540,140
"2 punti segnato","","Stanley Whittaker Jr","made",42,642,810,420
"3 punti segnato","Michal Sokolowski","Alessandro Lever","made",53,653,255,868
"3 punti sbagliato","","Alessandro Cappelletti","missed",78,678,1395,504
"2 punti sbagliato","","Alessandro Cappelletti","missed",94,694,750,224
"2 punti segnato","Alessandro Cappelletti","Stefano Gentile","made",137,737,1155,392
"3 punti sbagliato","","Justin Kyle Jaworski","missed",144,744,1230,924
"2 punti sbagliato","","Tariq Owens","missed",174,774,555,196
"2 punti segnato","","Tariq Owens","made",174,774,555,196
"3 punti segnato","Stefano Gentile","Alfonzo Mckinnie","made",184,784,1170,812
"3 punti segnato","Michal Sokolowski","Justin Kyle Jaworski","made",213,813,675,980
"2 punti segnato","Stefano Gentile","Ousmane Diop","made",222,822,840,420
"3 punti sbagliato","","Stefano Gentile","missed",248,848,1485,448
"3 punti sbagliato","","Alessandro Lever","missed",262,862,180,672
"2 punti segnato","Jacob Pullen","Tomislav Zubcic","made",294,894,390,224
"3 punti sbagliato","","Stanley Whittaker Jr","missed",320,920,1380,700
"3 punti sbagliato","","Stefano Gentile","missed",335,935,60,196
"2 punti sbagliato","","Stephane Gombauld","missed",340,940,735,224
"2 punti segnato","","Stephane Gombauld","made",340,940,735,224
"2 punti segnato","Giovanni De Nicolao","Tomislav Zubcic","made",352,952,375,308
"2 punti sbagliato","","Stephane Gombauld","missed",370,970,765,420
"2 punti sbagliato","","Tyler Ennis","missed",386,986,570,252
"2 punti segnato","","Alessandro Lever","made",391,991,645,196
"3 punti sbagliato","","Filip Kruslin","missed",419,1019,1395,616
"2 punti sbagliato","","Stanley Whittaker Jr","missed",429,1029,1155,140
"2 punti segnato","","Stephane Gombauld","made",446,1046,930,140
"2 punti segnato","","Jacob Pullen","made",451,1051,825,224
"3 punti sbagliato","","Kaspar Treier","missed",496,1096,60,112
"3 punti sbagliato","","Tomislav Zubcic","missed",514,1114,645,896
"2 punti segnato","","Stefano Gentile","made",524,1124,945,588
"3 punti segnato","Jacob Pullen","Michal Sokolowski","made",546,1146,30,84
"3 punti sbagliato","","Stefano Gentile","missed",584,1184,300,728
"3 punti segnato","Tomislav Zubcic","Alessandro Lever","made",599,1199,1080,784
"2 punti segnato","Stanley Whittaker Jr","Alessandro Cappelletti","made",35,1235,525,280
"3 punti segnato","Tyler Ennis","Tomislav Zubcic","made",47,1247,1335,700
"2 punti segnato","","Filip Kruslin","made",68,1268,570,140
"3 punti sbagliato","","Tariq Owens","missed",84,1284,585,168
"3 punti sbagliato","","Alessandro Cappelletti","missed",106,1306,15,140
"3 punti segnato","","Jacob Pullen","made",115,1315,1170,756
"3 punti sbagliato","","Alessandro Lever","missed",155,1355,75,140
"2 punti segnato","Alessandro Cappelletti","Filip Kruslin","made",163,1363,435,252
"3 punti segnato","","Jacob Pullen","made",171,1371,1155,812
"3 punti segnato","Filip Kruslin","Stanley Whittaker Jr","made",188,1388,30,168
"2 punti segnato","Jacob Pullen","Tomislav Zubcic","made",219,1419,645,140
"2 punti segnato","","Stanley Whittaker Jr","made",228,1428,690,392
"3 punti segnato","Tyler Ennis","Michal Sokolowski","made",250,1450,435,812
"2 punti sbagliato","","Tomislav Zubcic","missed",299,1499,525,196
"3 punti sbagliato","","Filip Kruslin","missed",325,1525,15,168
"3 punti segnato","Justin Kyle Jaworski","Tyler Ennis","made",341,1541,930,868
"3 punti sbagliato","","Tyler Ennis","missed",370,1570,1035,952
"2 punti sbagliato","","Stanley Whittaker Jr","missed",400,1600,390,280
