"game_id","description","assist","player","result","periodTime","totalTime","xx","yy"
24427,"2 punti sbagliato","","Mfiondu Kabengele","missed",9,9,735,308
24427,"3 punti segnato","Michele Vitali","Langston Galloway","made",25,25,1410,532
24427,"2 punti sbagliato","","Mfiondu Kabengele","missed",45,45,585,196
24427,"3 punti sbagliato","","Langston Galloway","missed",53,53,1455,336
24427,"3 punti segnato","Briante Weber","Langston Galloway","made",56,56,1470,280
24427,"2 punti sbagliato","","Marco Spissu","missed",74,74,870,168
24427,"2 punti sbagliato","","Mfiondu Kabengele","missed",77,77,645,140
24427,"2 punti segnato","Briante Weber","Darion Atkins","made",85,85,840,140
24427,"2 punti segnato","","Rayjon Tucker","made",107,107,750,140
24427,"2 punti sbagliato","","Tarik Black","missed",141,141,870,252
24427,"2 punti sbagliato","","Aamir Simms","missed",176,176,840,140
24427,"2 punti sbagliato","","Darion Atkins","missed",186,186,900,196
24427,"3 punti sbagliato","","Darion Atkins","missed",197,197,1260,728
24427,"2 punti segnato","","Briante Weber","made",219,219,945,532
24427,"3 punti segnato","Rayjon Tucker","Aamir Simms","made",236,236,1155,812
24427,"2 punti sbagliato","","Briante Weber","missed",250,250,690,168
24427,"3 punti segnato","Rayjon Tucker","Marco Spissu","made",257,257,195,644
24427,"3 punti segnato","","Langston Galloway","made",279,279,840,868
24427,"2 punti sbagliato","","Marco Spissu","missed",302,302,615,224
24427,"2 punti segnato","","Mfiondu Kabengele","made",307,307,780,168
24427,"2 punti segnato","Darion Atkins","Tarik Black","made",328,328,975,224
24427,"3 punti sbagliato","","Langston Galloway","missed",348,348,1455,420
24427,"3 punti sbagliato","","Mfiondu Kabengele","missed",385,385,135,616
24427,"2 punti sbagliato","","Lorenzo Uglietti","missed",408,408,540,504
24427,"3 punti sbagliato","","Jordan Parks","missed",419,419,30,168
24427,"2 punti segnato","","Aamir Simms","made",419,419,840,196
24427,"3 punti segnato","","Michele Vitali","made",435,435,750,868
24427,"2 punti sbagliato","","Jamar Smith","missed",469,469,555,168
24427,"2 punti sbagliato","","Mfiondu Kabengele","missed",492,492,885,196
24427,"3 punti sbagliato","","Jamar Smith","missed",512,512,1290,700
24427,"3 punti segnato","","Jamar Smith","made",520,520,1095,812
24427,"2 punti segnato","Max Heidegger","Mfiondu Kabengele","made",538,538,735,140
24427,"2 punti segnato","Jamar Smith","Mouhamed Faye","made",583,583,765,196
24427,"3 punti sbagliato","","Max Heidegger","missed",597,597,810,952
24427,"2 punti sbagliato","","Tarik Black","missed",13,613,840,140
24427,"2 punti segnato","","Tarik Black","made",13,613,840,140
24427,"3 punti sbagliato","","Sasha Grant","missed",46,646,225,728
24427,"2 punti segnato","Andrea De Nicolao","Kyle Wiltjer","made",65,665,540,588
24427,"2 punti segnato","Kyle Wiltjer","Max Heidegger","made",87,687,645,168
24427,"2 punti sbagliato","","Tarik Black","missed",103,703,765,224
24427,"2 punti sbagliato","","Tarik Black","missed",103,703,765,224
24427,"2 punti sbagliato","","Matteo Chillo","missed",130,730,795,308
24427,"2 punti sbagliato","","Max Heidegger","missed",135,735,870,196
24427,"2 punti sbagliato","","Matteo Chillo","missed",151,751,345,196
24427,"3 punti segnato","Andrea De Nicolao","Kyle Wiltjer","made",168,768,165,672
24427,"2 punti sbagliato","","Langston Galloway","missed",185,785,1005,560
24427,"2 punti segnato","Andrea De Nicolao","Kyle Wiltjer","made",195,795,735,224
24427,"3 punti sbagliato","","Darion Atkins","missed",215,815,1200,840
24427,"2 punti sbagliato","","Langston Galloway","missed",221,821,1200,308
24427,"2 punti sbagliato","","Jordan Parks","missed",231,831,765,196
24427,"2 punti sbagliato","","Jamar Smith","missed",240,840,345,532
24427,"2 punti segnato","","Darion Atkins","made",240,840,345,532
24427,"2 punti sbagliato","","Mfiondu Kabengele","missed",264,864,645,196
24427,"2 punti segnato","Darion Atkins","Tarik Black","made",281,881,915,308
24427,"3 punti sbagliato","","Mfiondu Kabengele","missed",302,902,990,868
24427,"2 punti segnato","","Langston Galloway","made",311,911,840,224
24427,"2 punti sbagliato","","Rayjon Tucker","missed",336,936,1005,140
24427,"3 punti sbagliato","","Langston Galloway","missed",354,954,405,840
24427,"3 punti segnato","Tarik Black","Jamar Smith","made",359,959,45,168
24427,"3 punti segnato","Mfiondu Kabengele","Jordan Parks","made",380,980,1410,420
24427,"3 punti segnato","Langston Galloway","Jamar Smith","made",396,996,90,392
24427,"3 punti sbagliato","","Kyle Wiltjer","missed",413,1013,1200,784
24427,"2 punti sbagliato","","Tarik Black","missed",432,1032,750,420
24427,"2 punti sbagliato","","Marco Spissu","missed",449,1049,450,616
24427,"3 punti sbagliato","","Lorenzo Uglietti","missed",472,1072,60,224
24427,"2 punti sbagliato","","Mouhamed Faye","missed",478,1078,750,224
24427,"3 punti sbagliato","","Jordan Parks","missed",506,1106,45,392
24427,"2 punti segnato","Jamar Smith","Mouhamed Faye","made",517,1117,900,196
24427,"2 punti segnato","","Jordan Parks","made",538,1138,645,420
24427,"2 punti segnato","","Jamar Smith","made",554,1154,495,644
24427,"3 punti sbagliato","","Aamir Simms","missed",573,1173,960,896
24427,"3 punti sbagliato","","Marco Spissu","missed",582,1182,630,896
