,game_id,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
0,24427,2 punti sbagliato,,Mfiondu Kabengele,missed,9,9,735.0,308.0,0
1,24427,3 punti segnato,Michele Vitali,Langston Galloway,made,25,25,1410.0,532.0,8
2,24427,2 punti sbagliato,,Mfiondu Kabengele,missed,45,45,585.0,196.0,0
3,24427,3 punti sbagliato,,Langston Galloway,missed,53,53,1455.0,336.0,8
4,24427,3 punti segnato,Briante Weber,Langston Galloway,made,56,56,1470.0,280.0,8
5,24427,2 punti sbagliato,,Marco Spissu,missed,74,74,870.0,168.0,0
6,24427,2 punti sbagliato,,Mfiondu Kabengele,missed,77,77,645.0,140.0,0
7,24427,2 punti segnato,Briante Weber,Darion Atkins,made,85,85,840.0,140.0,0
8,24427,2 punti segnato,,Rayjon Tucker,made,107,107,750.0,140.0,0
9,24427,2 punti sbagliato,,Tarik Black,missed,141,141,870.0,252.0,0
10,24427,2 punti sbagliato,,Aamir Simms,missed,176,176,840.0,140.0,0
11,24427,2 punti sbagliato,,Darion Atkins,missed,186,186,900.0,196.0,0
12,24427,3 punti sbagliato,,Darion Atkins,missed,197,197,1260.0,728.0,7
13,24427,2 punti segnato,,Briante Weber,made,219,219,945.0,532.0,3
14,24427,3 punti segnato,Rayjon Tucker,Aamir Simms,made,236,236,1155.0,812.0,7
15,24427,2 punti sbagliato,,Briante Weber,missed,250,250,690.0,168.0,0
16,24427,3 punti segnato,Rayjon Tucker,Marco Spissu,made,257,257,195.0,644.0,6
17,24427,3 punti segnato,,Langston Galloway,made,279,279,840.0,868.0,7
18,24427,2 punti sbagliato,,Marco Spissu,missed,302,302,615.0,224.0,0
19,24427,2 punti segnato,,Mfiondu Kabengele,made,307,307,780.0,168.0,0
20,24427,2 punti segnato,Darion Atkins,Tarik Black,made,328,328,975.0,224.0,0
21,24427,3 punti sbagliato,,Langston Galloway,missed,348,348,1455.0,420.0,8
22,24427,3 punti sbagliato,,Mfiondu Kabengele,missed,385,385,135.0,616.0,6
23,24427,2 punti sbagliato,,Lorenzo Uglietti,missed,408,408,540.0,504.0,2
24,24427,3 punti sbagliato,,Jordan Parks,missed,419,419,30.0,168.0,5
25,24427,2 punti segnato,,Aamir Simms,made,419,419,840.0,196.0,0
26,24427,3 punti segnato,,Michele Vitali,made,435,435,750.0,868.0,6
27,24427,2 punti sbagliato,,Jamar Smith,missed,469,469,555.0,168.0,0
28,24427,2 punti sbagliato,,Mfiondu Kabengele,missed,492,492,885.0,196.0,0
29,24427,3 punti sbagliato,,Jamar Smith,missed,512,512,1290.0,700.0,7
30,24427,3 punti segnato,,Jamar Smith,made,520,520,1095.0,812.0,7
31,24427,2 punti segnato,Max Heidegger,Mfiondu Kabengele,made,538,538,735.0,140.0,0
32,24427,2 punti segnato,Jamar Smith,Mouhamed Faye,made,583,583,765.0,196.0,0
33,24427,3 punti sbagliato,,Max Heidegger,missed,597,597,810.0,952.0,7
34,24427,2 punti sbagliato,,Tarik Black,missed,13,613,840.0,140.0,0
35,24427,2 punti segnato,,Tarik Black,made,13,613,840.0,140.0,0
36,24427,3 punti sbagliato,,Sasha Grant,missed,46,646,225.0,728.0,6
37,24427,2 punti segnato,Andrea De Nicolao,Kyle Wiltjer,made,65,665,540.0,588.0,2
38,24427,2 punti segnato,Kyle Wiltjer,Max Heidegger,made,87,687,645.0,168.0,0
39,24427,2 punti sbagliato,,Tarik Black,missed,103,703,765.0,224.0,0
40,24427,2 punti sbagliato,,Tarik Black,missed,103,703,765.0,224.0,0
41,24427,2 punti sbagliato,,Matteo Chillo,missed,130,730,795.0,308.0,0
42,24427,2 punti sbagliato,,Max Heidegger,missed,135,735,870.0,196.0,0
43,24427,2 punti sbagliato,,Matteo Chillo,missed,151,751,345.0,196.0,1
44,24427,3 punti segnato,Andrea De Nicolao,Kyle Wiltjer,made,168,768,165.0,672.0,6
45,24427,2 punti sbagliato,,Langston Galloway,missed,185,785,1005.0,560.0,3
46,24427,2 punti segnato,Andrea De Nicolao,Kyle Wiltjer,made,195,795,735.0,224.0,0
47,24427,3 punti sbagliato,,Darion Atkins,missed,215,815,1200.0,840.0,7
48,24427,2 punti sbagliato,,Langston Galloway,missed,221,821,1200.0,308.0,4
49,24427,2 punti sbagliato,,Jordan Parks,missed,231,831,765.0,196.0,0
50,24427,2 punti sbagliato,,Jamar Smith,missed,240,840,345.0,532.0,2
51,24427,2 punti segnato,,Darion Atkins,made,240,840,345.0,532.0,2
52,24427,2 punti sbagliato,,Mfiondu Kabengele,missed,264,864,645.0,196.0,0
53,24427,2 punti segnato,Darion Atkins,Tarik Black,made,281,881,915.0,308.0,0
54,24427,3 punti sbagliato,,Mfiondu Kabengele,missed,302,902,990.0,868.0,7
55,24427,2 punti segnato,,Langston Galloway,made,311,911,840.0,224.0,0
56,24427,2 punti sbagliato,,Rayjon Tucker,missed,336,936,1005.0,140.0,4
57,24427,3 punti sbagliato,,Langston Galloway,missed,354,954,405.0,840.0,6
58,24427,3 punti segnato,Tarik Black,Jamar Smith,made,359,959,45.0,168.0,5
59,24427,3 punti segnato,Mfiondu Kabengele,Jordan Parks,made,380,980,1410.0,420.0,8
60,24427,3 punti segnato,Langston Galloway,Jamar Smith,made,396,996,90.0,392.0,5
61,24427,3 punti sbagliato,,Kyle Wiltjer,missed,413,1013,1200.0,784.0,7
