,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
0,2 punti segnato,Tyler Ennis,Tariq Owens,made,5,5,960.0,112.0,0
1,3 punti sbagliato,,Stanley Whittaker Jr,missed,28,28,1470.0,112.0,8
2,3 punti segnato,Tyler Ennis,Michal Sokolowski,made,45,45,15.0,364.0,5
3,2 punti segnato,Stanley Whittaker Jr,Stephane Gombauld,made,71,71,1005.0,308.0,3
4,2 punti segnato,Tyler Ennis,Tariq Owens,made,110,110,825.0,168.0,0
5,2 punti sbagliato,,Filip Kruslin,missed,143,143,405.0,644.0,2
6,2 punti segnato,Tyler Ennis,Michal Sokolowski,made,154,154,645.0,112.0,0
7,3 punti sbagliato,,Jacob Pullen,missed,173,173,900.0,868.0,7
8,3 punti segnato,,Tyler Ennis,made,200,200,1080.0,756.0,7
9,3 punti segnato,Stanley Whittaker Jr,Kaspar Treier,made,221,221,1275.0,756.0,7
10,2 punti sbagliato,,Tariq Owens,missed,236,236,585.0,336.0,0
11,3 punti segnato,,Jacob Pullen,made,267,267,1335.0,588.0,7
12,2 punti segnato,Alessandro Cappelletti,Stephane Gombauld,made,295,295,915.0,28.0,0
13,2 punti segnato,,Tyler Ennis,made,319,319,825.0,84.0,0
14,3 punti sbagliato,,Filip Kruslin,missed,335,335,1365.0,644.0,7
15,3 punti sbagliato,,Michal Sokolowski,missed,353,353,285.0,756.0,6
16,2 punti sbagliato,,Stephane Gombauld,missed,361,361,1050.0,112.0,4
17,2 punti segnato,,Ousmane Diop,made,361,361,1050.0,112.0,4
18,2 punti sbagliato,,Ousmane Diop,missed,393,393,795.0,196.0,0
19,2 punti sbagliato,,Ousmane Diop,missed,393,393,795.0,196.0,0
20,2 punti sbagliato,,Ousmane Diop,missed,393,393,795.0,196.0,0
21,3 punti segnato,Alessandro Cappelletti,Filip Kruslin,made,408,408,1290.0,700.0,7
22,2 punti sbagliato,,Tariq Owens,missed,416,416,765.0,224.0,0
23,2 punti segnato,,Tyler Ennis,made,436,436,735.0,644.0,2
24,2 punti sbagliato,,Stefano Gentile,missed,448,448,975.0,84.0,0
25,2 punti sbagliato,,Giovanni De Nicolao,missed,462,462,795.0,224.0,0
26,2 punti sbagliato,,Tariq Owens,missed,462,462,795.0,224.0,0
